Project Name,Transacted Price ($),Strata/Land Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Strata/Land Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
ELITE INDUSTRIAL BUILDING II,"2,760,750","4,090.32",675,18 Aug 2021,"47 TANNERY LANE #04-05,06",Resale,Strata,380,"7,265",Warehouse,Freehold,13,34,347794,Central Region,Geylang
I.BIZ CENTRE,"850,000","2,938.57",289,18 Aug 2021,32 OLD TOH TUCK ROAD #01-09,Resale,Strata,273,"3,114",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
JOO SENG WAREHOUSE,"1,350,000","2,109.74",640,20 Aug 2021,1 UPPER ALJUNIED LINK #04-04,Resale,Strata,196,"6,888",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
GUAN HUA WAREHOUSE,"320,000","1,722.24",186,23 Aug 2021,85 GENTING LANE #02-02,Resale,Strata,160,"2,000",Warehouse,60 yrs from 04/12/1981,13,34,349569,Central Region,Geylang
CSI DISTRIBUTION CENTRE,"950,000","1,528.49",622,25 Aug 2021,2 KIM CHUAN DRIVE #04-07,Resale,Strata,142,"6,690",Warehouse,Freehold,19,53,537080,North East Region,Hougang
I.BIZ CENTRE,"1,880,000","3,939.62",477,25 Aug 2021,32 OLD TOH TUCK ROAD #01-17,Resale,Strata,366,"5,137",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
NOBLE LOGISTICS,"3,056,832","5,306.65",576,25 Aug 2021,49 TANNERY LANE #02-02,Resale,Strata,493,"6,200",Warehouse,Freehold,13,34,347796,Central Region,Geylang
NOBLE LOGISTICS,"2,244,096","3,896.57",576,25 Aug 2021,49 TANNERY LANE #03-01,Resale,Strata,362,"6,199",Warehouse,Freehold,13,34,347796,Central Region,Geylang
NOBLE LOGISTICS,"892,800","1,550.02",576,25 Aug 2021,49 TANNERY LANE #03-06,Resale,Strata,144,"6,200",Warehouse,Freehold,13,34,347796,Central Region,Geylang
WESTLINK ONE,"880,000","2,744.82",321,27 Aug 2021,1 TUAS VIEW PLACE #02-05,Resale,Strata,255,"3,451",Warehouse,60 yrs from 20/11/1995,22,63,637433,West Region,Tuas
LTH BUILDING,"40,100,000","85,423.1",469,30 Aug 2021,10 JALAN KILANG TIMOR #05-04A ETC,Resale,Strata,"7,936","5,053",Warehouse,99 yrs from 01/07/1962,03,15,159306,Central Region,Bukit Merah
MANDAI INDUSTRIAL BUILDING,"1,000,000","2,400.37",417,03 Sep 2021,30 MANDAI ESTATE #04-02,Resale,Strata,223,"4,484",Warehouse,Freehold,25,72,729918,North Region,Sungei Kadut
OXLEY BIZHUB,"650,000","1,033.34",629,03 Sep 2021,61 UBI ROAD 1 #03-30,Resale,Strata,96,"6,771",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
LINK@AMK,"3,100,000","7,911.54",392,06 Sep 2021,3 ANG MO KIO STREET 62 #01-64,Resale,Strata,735,"4,218",Warehouse,60 yrs from 28/06/2011,20,56,569139,North East Region,Ang Mo Kio
JOO SENG WAREHOUSE,"2,675,000","4,219.49",634,06 Sep 2021,"1 UPPER ALJUNIED LINK #07-04,05",Resale,Strata,392,"6,824",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
CITILINK WAREHOUSE COMPLEX,"923,000",947.23,974,09 Sep 2021,102E PASIR PANJANG ROAD #02-12,Resale,Strata,88,"10,489",Warehouse,Freehold,05,11,118529,Central Region,Queenstown
CITILINK WAREHOUSE COMPLEX,"950,000",947.23,"1,003",09 Sep 2021,102F PASIR PANJANG ROAD #05-12,Resale,Strata,88,"10,795",Warehouse,Freehold,05,11,118530,Central Region,Queenstown
LINK@AMK,"3,600,000","7,911.54",455,10 Sep 2021,3 ANG MO KIO STREET 62 #01-65,Resale,Strata,735,"4,898",Warehouse,60 yrs from 28/06/2011,20,56,569139,North East Region,Ang Mo Kio
AMA BUILDING,"810,000","1,044.11",776,15 Sep 2021,50 KALLANG PUDDING ROAD #07-07,Resale,Strata,97,"8,351",Warehouse,Freehold,13,34,349326,Central Region,Geylang
ELITE INDUSTRIAL BUILDING I,"831,285","1,420.85",585,17 Sep 2021,32 KALLANG PUDDING ROAD #05-04,Resale,Strata,132,"6,298",Warehouse,Freehold,13,34,349313,Central Region,Geylang
ELITE INDUSTRIAL BUILDING I,"1,599,390","2,734.06",585,20 Sep 2021,32 KALLANG PUDDING ROAD #05-02,Resale,Strata,254,"6,297",Warehouse,Freehold,13,34,349313,Central Region,Geylang
ELITE INDUSTRIAL BUILDING I,"1,687,725","2,884.75",585,21 Sep 2021,32 KALLANG PUDDING ROAD #05-01,Resale,Strata,268,"6,297",Warehouse,Freehold,13,34,349313,Central Region,Geylang
RUBY WAREHOUSE COMPLEX,"595,000","2,895.52",205,23 Sep 2021,8 KAKI BUKIT ROAD 2 #04-31,Resale,Strata,269,"2,212",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
CITILINK WAREHOUSE COMPLEX,"1,660,000","1,711.48",970,23 Sep 2021,102F PASIR PANJANG ROAD #08-02,Resale,Strata,159,"10,440",Warehouse,Freehold,05,11,118530,Central Region,Queenstown
TRIVEX,"636,000",968.76,657,24 Sep 2021,8 BURN ROAD #06-06,Resale,Strata,90,"7,067",Warehouse,60 yrs from 20/05/2008,13,36,369977,Central Region,Toa Payoh
TAGORE BUILDING,"928,000","1,528.49",607,24 Sep 2021,6 TAGORE DRIVE #04-14,Resale,Strata,142,"6,535",Warehouse,Freehold,26,78,787623,North East Region,Ang Mo Kio
TANNERY HOUSE,"1,509,750","2,012.87",750,30 Sep 2021,37 TANNERY LANE #06-09,Resale,Strata,187,"8,074",Warehouse,Freehold,13,34,347790,Central Region,Geylang
KEWALRAM HOUSE,"1,500,000","3,681.29",407,22 Oct 2021,8 JALAN KILANG TIMOR #03-02,Resale,Strata,342,"4,386",Warehouse,99 yrs from 01/01/1961,03,15,159305,Central Region,Bukit Merah
RUBY WAREHOUSE COMPLEX,"600,000","2,163.56",277,25 Oct 2021,8 KAKI BUKIT ROAD 2 #04-34,Resale,Strata,201,"2,985",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
ORION @ PAYA LEBAR,"1,860,000","2,002.1",929,25 Oct 2021,160 PAYA LEBAR ROAD #03-07,Resale,Strata,186,"10,000",Warehouse,Freehold,14,40,409022,Central Region,Geylang
NOVELTY BIZCENTRE,"1,370,000","1,388.56",987,26 Oct 2021,18 HOWARD ROAD #03-06,Resale,Strata,129,"10,620",Warehouse,Freehold,13,36,369585,Central Region,Toa Payoh
MANDAI INDUSTRIAL BUILDING,"907,000","2,185.09",415,28 Oct 2021,30 MANDAI ESTATE #03-04,Resale,Strata,203,"4,468",Warehouse,Freehold,25,72,729918,North Region,Sungei Kadut
N.A.,"2,360,000","3,347.6",705,29 Oct 2021,15 LITTLE ROAD #02-01,Resale,Strata,311,"7,588",Warehouse,Freehold,19,53,536988,Central Region,Toa Payoh
