Project Name,Transacted Price ($),Strata/Land Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Strata/Land Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
ELITE INDUSTRIAL BUILDING II,"2,124,615","3,056.98",695,30 Mar 2022,47 TANNERY LANE #05-01,Resale,Strata,284,"7,481",Warehouse,Freehold,13,34,347794,Central Region,Geylang
LIBERTY WAREHOUSE,"1,400,008","2,012.87",696,01 Apr 2022,220 TAGORE LANE #02-03,Resale,Strata,187,"7,487",Warehouse,Freehold,26,78,787600,North East Region,Ang Mo Kio
SINDO INDUSTRIAL ESTATE,"8,800,000","5,431.51","1,620",01 Apr 2022,42 TAGORE LANE,Resale,Land,504.6,"17,440",Warehouse,Freehold,26,78,787490,North East Region,Ang Mo Kio
UB. ONE,"1,080,000","1,410.08",766,07 Apr 2022,81 UBI AVENUE 4 #01-04,Resale,Strata,131,"8,244",Warehouse,60 yrs from 31/12/2008,14,40,408830,Central Region,Geylang
OXLEY BIZHUB,"680,000","1,065.64",638,11 Apr 2022,61 UBI ROAD 1 #02-22,Resale,Strata,99,"6,869",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
VERTEX,"1,006,800","2,238.91",450,14 Apr 2022,33 UBI AVENUE 3 #02-22,Resale,Strata,208,"4,840",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
JOO SENG WAREHOUSE,"1,480,000","2,109.74",702,14 Apr 2022,3 UPPER ALJUNIED LINK #07-03,Resale,Strata,196,"7,551",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
PAN MALAYAN WAREHOUSE,"2,415,000","8,255.99",293,19 Apr 2022,175 UBI AVENUE 4,Resale,Strata,767,"3,149",Warehouse,60 yrs from 08/11/1982,14,40,408791,Central Region,Geylang
CITILINK WAREHOUSE COMPLEX,"1,810,000","1,851.41",978,20 Apr 2022,102E PASIR PANJANG ROAD #03-02,Resale,Strata,172,"10,523",Warehouse,Freehold,05,11,118529,Central Region,Queenstown
LINK@AMK,"1,500,000","2,152.8",697,27 Apr 2022,3 ANG MO KIO STREET 62 #01-07,Resale,Strata,200,"7,500",Warehouse,60 yrs from 28/06/2011,20,56,569139,North East Region,Ang Mo Kio
NOBLE LOGISTICS,"1,375,668","2,163.56",636,27 Apr 2022,49 TANNERY LANE #03-04,Resale,Strata,201,"6,844",Warehouse,Freehold,13,34,347796,Central Region,Geylang
I.BIZ CENTRE,"633,000","2,809.4",225,28 Apr 2022,32 OLD TOH TUCK ROAD #02-15,Resale,Strata,261,"2,425",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
OXLEY BIZHUB,"580,000",914.94,634,28 Apr 2022,63 UBI ROAD 1 #03-45,Resale,Strata,85,"6,824",Warehouse,60 yrs from 15/11/2010,14,40,408728,Central Region,Geylang
OXLEY BIZHUB,"668,000",958,697,28 Apr 2022,65 UBI ROAD 1 #03-52,Resale,Strata,89,"7,506",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
OXLEY BIZHUB 2,"1,050,000","1,915.99",548,29 Apr 2022,62 UBI ROAD 1 #01-24,Resale,Strata,178,"5,899",Warehouse,60 yrs from 10/06/2011,14,40,408734,Central Region,Geylang
OXLEY BIZHUB 2,"1,150,000","1,915.99",600,29 Apr 2022,62 UBI ROAD 1 #01-35,Resale,Strata,178,"6,461",Warehouse,60 yrs from 10/06/2011,14,40,408734,Central Region,Geylang
LINK@AMK,"1,500,000","2,152.8",697,04 May 2022,3 ANG MO KIO STREET 62 #01-06,Resale,Strata,200,"7,500",Warehouse,60 yrs from 28/06/2011,20,56,569139,North East Region,Ang Mo Kio
LIBERTY WAREHOUSE,"1,200,000","1,722.24",697,05 May 2022,220 TAGORE LANE #02-07,Resale,Strata,160,"7,500",Warehouse,Freehold,26,78,787600,North East Region,Ang Mo Kio
OXLEY BIZHUB,"1,400,000","2,045.16",685,06 May 2022,61 UBI ROAD 1 #01-28,Resale,Strata,190,"7,368",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
WCEGA PLAZA,"2,170,000","6,092.42",356,13 May 2022,1 BUKIT BATOK CRESCENT #02-52,Resale,Strata,566,"3,834",Warehouse,60 yrs from 13/03/1997,23,65,658064,West Region,Bukit Batok
WCEGA PLAZA,"1,430,000","3,702.82",386,13 May 2022,1 BUKIT BATOK CRESCENT #02-53,Resale,Strata,344,"4,157",Warehouse,60 yrs from 13/03/1997,23,65,658064,West Region,Bukit Batok
NORTH LINK BUILDING,"1,421,000","5,188.25",274,17 May 2022,10 ADMIRALTY STREET #01-63,Resale,Strata,482,"2,948",Warehouse,60 yrs from 09/10/1999,27,75,757695,North Region,Sembawang
SINDO INDUSTRIAL ESTATE,"8,888,888","7,778.07","1,143",17 May 2022,444 TAGORE INDUSTRIAL AVENUE,Resale,Land,722.6,"12,301",Warehouse,Freehold,26,78,787817,North East Region,Ang Mo Kio
UB. ONE,"1,080,000","1,410.08",766,17 May 2022,81 UBI AVENUE 4 #01-03,Resale,Strata,131,"8,244",Warehouse,60 yrs from 31/12/2008,14,40,408830,Central Region,Geylang
CITY WAREHOUSE,"838,000","4,725.4",177,19 May 2022,5 KAKI BUKIT ROAD 2 #04-04,Resale,Strata,439,"1,909",Warehouse,60 yrs from 17/12/1981,14,41,417839,East Region,Bedok
OXLEY BIZHUB,"668,000","1,033.34",646,19 May 2022,61 UBI ROAD 1 #03-29,Resale,Strata,96,"6,958",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
OXLEY BIZHUB,"739,000","1,001.05",738,24 May 2022,65 UBI ROAD 1 #03-77,Resale,Strata,93,"7,946",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
OXLEY BIZHUB,"797,000","1,453.14",548,24 May 2022,65 UBI ROAD 1 #04-37,Resale,Strata,135,"5,904",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
LINK@AMK,"1,600,000","2,152.8",743,25 May 2022,3 ANG MO KIO STREET 62 #01-13,Resale,Strata,200,"8,000",Warehouse,60 yrs from 28/06/2011,20,56,569139,North East Region,Ang Mo Kio
INTREPID WAREHOUSE COMPLEX,"1,820,000","9,396.97",194,27 May 2022,213 UBI AVENUE 4,Resale,Strata,873,"2,085",Warehouse,60 yrs from 19/10/1982,14,40,408808,Central Region,Geylang
TAGORE BUILDING,"1,380,000","2,109.74",654,03 Jun 2022,6 TAGORE DRIVE #02-10,Resale,Strata,196,"7,041",Warehouse,Freehold,26,78,787623,North East Region,Ang Mo Kio
MANDAI INDUSTRIAL BUILDING,"1,325,000","3,218.44",412,06 Jun 2022,30 MANDAI ESTATE #04-01,Resale,Strata,299,"4,431",Warehouse,Freehold,25,72,729918,North Region,Sungei Kadut
LAM SOON INDUSTRIAL BUILDING,"3,080,000","4,122.61",747,08 Jun 2022,63 HILLVIEW AVENUE #03-11,Resale,Strata,383,"8,042",Warehouse,Freehold,23,66,669569,West Region,Bukit Batok
OXLEY BIZHUB,"2,128,000","2,970.86",716,10 Jun 2022,61 UBI ROAD 1 #01-21,Resale,Strata,276,"7,710",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
GORDON WAREHOUSE BUILDING,"405,000","1,743.77",232,15 Jun 2022,9 KAKI BUKIT ROAD 2 #02-16,Resale,Strata,162,"2,500",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
QUARTZ INDUSTRIAL BUILDING,"2,250,000","2,841.7",792,22 Jun 2022,5 UPPER ALJUNIED LINK #02-01,Resale,Strata,264,"8,523",Warehouse,Freehold,13,36,367903,Central Region,Toa Payoh
VERTEX,"1,887,000","3,261.49",579,28 Jun 2022,33 UBI AVENUE 3 #01-59,Resale,Strata,303,"6,228",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
OXLEY BIZHUB,"825,000","1,560.78",529,04 Jul 2022,65 UBI ROAD 1 #04-24,Resale,Strata,145,"5,690",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
PAN MALAYAN WAREHOUSE,"2,450,000","8,342.1",294,08 Jul 2022,173 UBI AVENUE 4,Resale,Strata,775,"3,161",Warehouse,60 yrs from 08/11/1982,14,40,408790,Central Region,Geylang
TANNERY HOUSE,"1,820,000","2,540.3",716,12 Jul 2022,37 TANNERY LANE #05-08,Resale,Strata,236,"7,712",Warehouse,Freehold,13,34,347790,Central Region,Geylang
N.A.,"4,850,000","32,677.35",148,13 Jul 2022,9 TUAS SOUTH STREET 8,Resale,Land,"3,035.8","1,598",Warehouse,23 yrs from 26/12/2012,22,63,636931,West Region,Tuas
VERTEX,"635,000","1,227.1",517,14 Jul 2022,33 UBI AVENUE 3 #05-54,Resale,Strata,114,"5,570",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
ZERVEX,"3,718,888","4,165.67",893,15 Jul 2022,8 UBI ROAD 2 #01-02,Resale,Strata,387,"9,610",Warehouse,60 yrs from 30/06/2008,14,40,408538,Central Region,Geylang
CITY WAREHOUSE,"743,800","4,154.9",179,27 Jul 2022,5 KAKI BUKIT ROAD 2 #04-13,Resale,Strata,386,"1,927",Warehouse,60 yrs from 17/12/1981,14,41,417839,East Region,Bedok
PANDAN LOGISTICS HUB,"43,500,000","133,681.35",325,29 Jul 2022,49 PANDAN ROAD,Resale,Land,"12,419.3","3,503",Warehouse,30+30 yrs from 01/10/1979,22,60,609290,West Region,Jurong East
VERTEX,"1,145,000","2,368.08",484,01 Aug 2022,33 UBI AVENUE 3 #02-15,Resale,Strata,220,"5,205",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
THE WESTCOM,"728,000","2,152.8",338,03 Aug 2022,1 TUAS SOUTH AVENUE 6 #01-09,Resale,Strata,200,"3,640",Warehouse,60 yrs from 09/07/1996,22,63,637021,West Region,Tuas
I.BIZ CENTRE,"680,000","2,131.27",319,04 Aug 2022,32 OLD TOH TUCK ROAD #01-11,Resale,Strata,198,"3,434",Warehouse,30 yrs from 29/06/2011,21,59,597658,West Region,Clementi
JOO SENG WAREHOUSE,"2,420,000","3,498.3",692,05 Aug 2022,1 UPPER ALJUNIED LINK #07-06,Resale,Strata,325,"7,446",Warehouse,Freehold,13,36,367901,Central Region,Toa Payoh
RUBY WAREHOUSE COMPLEX,"345,000","1,496.2",231,10 Aug 2022,8 KAKI BUKIT ROAD 2 #02-24,Resale,Strata,139,"2,482",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
RUBY WAREHOUSE COMPLEX,"345,000","1,496.2",231,10 Aug 2022,8 KAKI BUKIT ROAD 2 #02-25,Resale,Strata,139,"2,482",Warehouse,60 yrs from 07/12/1981,14,41,417841,East Region,Bedok
LINK@AMK,"4,300,000","8,966.41",480,19 Aug 2022,3 ANG MO KIO STREET 62 #01-40,Resale,Strata,833,"5,162",Warehouse,60 yrs from 28/06/2011,20,56,569139,North East Region,Ang Mo Kio
GORDON WAREHOUSE BUILDING,"2,000,000","7,039.66",284,24 Aug 2022,9 KAKI BUKIT ROAD 2 #01-17,Resale,Strata,654,"3,058",Warehouse,60 yrs from 25/07/1981,14,41,417842,East Region,Bedok
OXLEY BIZHUB,"945,000","1,496.2",632,24 Aug 2022,65 UBI ROAD 1 #03-58,Resale,Strata,139,"6,799",Warehouse,60 yrs from 15/11/2010,14,40,408729,Central Region,Geylang
UB. ONE,"1,120,000","1,410.08",794,29 Aug 2022,81 UBI AVENUE 4 #01-02,Resale,Strata,131,"8,550",Warehouse,60 yrs from 31/12/2008,14,40,408830,Central Region,Geylang
OXLEY BIZHUB,"680,000","1,022.58",665,02 Sep 2022,61 UBI ROAD 1 #02-06,Resale,Strata,95,"7,158",Warehouse,60 yrs from 15/11/2010,14,40,408727,Central Region,Geylang
CARROS CENTRE,"1,521,000","1,689.95",900,09 Sep 2022,60 JALAN LAM HUAT #05-12,Resale,Strata,157,"9,688",Warehouse,Freehold,25,73,737869,North Region,Sungei Kadut
VERTEX,"1,800,000","3,283.02",548,09 Sep 2022,33 UBI AVENUE 3 #01-66,Resale,Strata,305,"5,902",Warehouse,60 yrs from 01/01/2007,14,40,408868,Central Region,Geylang
JOO SENG WAREHOUSE,"1,503,000","2,109.74",712,09 Sep 2022,3 UPPER ALJUNIED LINK #05-03,Resale,Strata,196,"7,668",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
JOO SENG WAREHOUSE,"2,480,000","3,498.3",709,14 Sep 2022,3 UPPER ALJUNIED LINK #04-01,Resale,Strata,325,"7,631",Warehouse,Freehold,13,36,367902,Central Region,Toa Payoh
OXLEY BIZHUB 2,"1,020,000","1,894.46",538,20 Sep 2022,62 UBI ROAD 1 #01-07,Resale,Strata,176,"5,795",Warehouse,60 yrs from 10/06/2011,14,40,408734,Central Region,Geylang
QUARTZ INDUSTRIAL BUILDING,"3,908,000","5,209.78",750,22 Sep 2022,5 UPPER ALJUNIED LINK #06-06,Resale,Strata,484,"8,074",Warehouse,Freehold,13,36,367903,Central Region,Toa Payoh
INNOVATION PLACE,"1,500,000","1,776.06",845,29 Sep 2022,25 MANDAI ESTATE #01-04,Resale,Strata,165,"9,091",Warehouse,Freehold,25,72,729930,North Region,Sungei Kadut
