Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SBF CENTER,"1,809,600",624.31,"2,899",30 Jan 2018,160 ROBINSON ROAD #20-08,Resale,Strata,58,"31,200",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
INTERNATIONAL PLAZA,"888,000",462.85,"1,919",30 Jan 2018,10 ANSON ROAD #14-01A,Resale,Strata,43,"20,651",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PEACE CENTRE/MANSIONS,"850,000",775.01,"1,097",31 Jan 2018,1 SOPHIA ROAD #04-30,Resale,Strata,72,"11,806",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
FOOK HAI BUILDING,"880,000",731.95,"1,202",02 Feb 2018,150 SOUTH BRIDGE ROAD #03-14,Resale,Strata,68,"12,941",Office,99 yrs from 18/01/1972,01,05,058727,Central Region,Outram
INTERNATIONAL PLAZA,"1,640,000",936.47,"1,751",02 Feb 2018,10 ANSON ROAD #30-12,Resale,Strata,87,"18,851",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
VISION EXCHANGE,"1,812,000",764.24,"2,371",02 Feb 2018,2 VENTURE DRIVE #16-20,Resale,Strata,71,"25,521",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
TEXTILE CENTRE,"740,000",893.41,828,02 Feb 2018,200 JALAN SULTAN #10-04,Resale,Strata,83,"8,916",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
HOUGANG GREEN SHOPPING MALL,"1,060,000",365.98,"2,896",05 Feb 2018,21 HOUGANG STREET 51 #02-23,Resale,Strata,34,"31,176",Office,99 yrs from 01/12/1994,19,53,538719,North East Region,Hougang
INTERNATIONAL PLAZA,"865,000",473.62,"1,826",06 Feb 2018,10 ANSON ROAD #29-02A,Resale,Strata,44,"19,659",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PEACE CENTRE/MANSIONS,"1,360,000","1,345.5","1,011",07 Feb 2018,1 SOPHIA ROAD #06-31,Resale,Strata,125,"10,880",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
PEACE CENTRE/MANSIONS,"1,020,000",990.29,"1,030",08 Feb 2018,1 SOPHIA ROAD #06-22,Resale,Strata,92,"11,087",Office,99 yrs from 02/06/1970,09,22,228149,Central Region,Rochor
ST MICHAEL'S PLACE,"16,000,000","12,787.63","1,251",08 Feb 2018,"1 JALAN TAMAN #01-01,02 ETC",Resale,Strata,"1,188","13,468",Office,Freehold,12,32,329022,Central Region,Kallang
SUNSHINE PLAZA,"1,300,650",667.37,"1,949",09 Feb 2018,91 BENCOOLEN STREET #05-05,Resale,Strata,62,"20,978",Office,99 yrs from 19/03/1997,07,18,189652,Central Region,Rochor
BUKIT TIMAH SHOPPING CENTRE,"570,000",150.7,"3,782",12 Feb 2018,170 UPPER BUKIT TIMAH ROAD #03-48,Resale,Strata,14,"40,714",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
TEXTILE CENTRE,"750,000",914.94,820,12 Feb 2018,200 JALAN SULTAN #10-05,Resale,Strata,85,"8,824",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
INTERNATIONAL PLAZA,"3,250,000","1,872.94","1,735",12 Feb 2018,"10 ANSON ROAD #21-02,02A,03,03A",Resale,Strata,174,"18,678",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
HIGH STREET CENTRE,"892,000",548.96,"1,625",12 Feb 2018,1 NORTH BRIDGE ROAD #24-07,Resale,Strata,51,"17,490",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
SBF CENTER,"2,300,000",753.48,"3,053",13 Feb 2018,160 ROBINSON ROAD #18-03,Resale,Strata,70,"32,857",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
PEOPLE'S PARK CENTRE,"852,555",710.42,"1,200",14 Feb 2018,101 UPPER CROSS STREET #05-32,Resale,Strata,66,"12,918",Office,99 yrs from 02/06/1970,01,05,058357,Central Region,Outram
PRUDENTIAL TOWER,"13,612,136","5,102.14","2,668",15 Feb 2018,"30 CECIL STREET #16-01,02,03,04",Resale,Strata,474,"28,718",Office,99 yrs from 15/01/1996,01,04,049712,Central Region,Downtown Core
MAXWELL HOUSE,"442,500",269.1,"1,644",19 Feb 2018,20 MAXWELL ROAD #05-02,Resale,Strata,25,"17,700",Office,99 yrs from 02/06/1969,01,06,069113,Central Region,Outram
VISION EXCHANGE,"25,561,000","10,774.76","2,372",19 Feb 2018,2 VENTURE DRIVE #20-01to14,Resale,Strata,"1,001","25,535",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
VISION EXCHANGE,"1,966,000",839.59,"2,342",20 Feb 2018,2 VENTURE DRIVE #15-21,Resale,Strata,78,"25,205",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
